"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2021","252.18","238.47","263.19","238.05","568.70M","6.96%"
"05/01/2021","249.68","253.40","254.35","238.07","495.09M","-0.99%"
"06/01/2021","270.90","251.23","271.65","243.00","508.57M","8.50%"
"07/01/2021","284.91","269.61","290.15","269.60","522.69M","5.17%"
"08/01/2021","301.88","286.36","305.84","283.74","441.33M","5.96%"
"09/01/2021","281.92","302.86","305.32","281.62","502.93M","-6.61%"
"10/01/2021","331.62","282.12","332.00","280.25","516.52M","17.63%"
"11/01/2021","330.59","331.36","349.67","326.37","509.89M","-0.31%"
"12/01/2021","336.32","335.13","344.30","317.25","625.97M","1.73%"
"01/01/2022","310.98","335.35","338.00","276.05","947.99M","-7.53%"
"02/01/2022","298.79","310.41","315.12","271.52","697.37M","-3.92%"
"03/01/2022","308.31","296.40","315.95","270.00","734.35M","3.19%"
"04/01/2022","277.52","309.37","315.11","270.00","627.39M","-9.99%"
"05/01/2022","271.87","277.71","290.88","246.44","742.90M","-2.04%"
"06/01/2022","256.83","275.20","277.69","241.51","621.50M","-5.53%"
"07/01/2022","280.74","256.39","282.00","245.94","534.99M","9.31%"
"08/01/2022","261.47","277.82","294.18","260.66","477.18M","-6.86%"
"09/01/2022","232.90","258.87","267.45","232.73","575.60M","-10.93%"
"10/01/2022","232.13","235.41","251.04","219.13","671.37M","-0.33%"
"11/01/2022","255.14","234.60","255.33","213.43","615.33M","9.91%"
"12/01/2022","239.82","253.87","263.92","233.87","591.37M","-6.00%"
"01/01/2023","247.81","243.08","249.83","219.35","25.69M","3.33%"
"02/01/2023","249.42","248.00","276.75","245.47","24.99M","0.65%"
"03/01/2023","277.66","250.63","283.33","245.63","36.38M","11.32%"
